time,logger,level,message,exception
2012-08-14 19:39:53.0451,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 1,765 ms
	Index: Temp/Foos/ByBirthDate
	Results: 0 returned out of 0 total.
",
2012-08-14 19:39:53.1867,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -    16 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.1867,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 15 ms
",
2012-08-14 19:39:53.2258,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.2258,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.2541,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.2541,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.2834,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.2834,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.3137,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.3137,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.3430,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.3430,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.3732,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.3732,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.3928,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.4035,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.4318,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.4318,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.4533,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.4533,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.4894,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.4894,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.5178,Raven.Database.Server.HttpServer,Debug,Request #  17: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.5178,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.5578,Raven.Database.Server.HttpServer,Debug,Request #  18: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.5578,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.5783,Raven.Database.Server.HttpServer,Debug,Request #  19: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.5783,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.6164,Raven.Database.Server.HttpServer,Debug,Request #  20: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.6164,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.6428,Raven.Database.Server.HttpServer,Debug,Request #  21: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
2012-08-14 19:39:53.6428,Raven.Database.Server.HttpServer,Debug,"	Query: BirthDate:19500101000000000
	Time: 0 ms
",
2012-08-14 19:39:53.6740,Raven.Database.Server.HttpServer,Debug,Request #  22: GET     -     0 ms - <default>  - 304 - /indexes/dynamic/Foos?query=BirthDate%253A19500101000000000&start=0&pageSize=128&aggregation=None&fetch=Name,
